title,summary,link,published,source
Robusta Coffee Set for Weekly Jump on Supply Woes in Top Growers,"Robusta coffee was on track for the biggest weekly gain in at least 17 years in London, as concerns over tight supplies from the two largest producers keep the market on edge.",https://www.bloomberg.com/news/articles/2025-08-15/robusta-coffee-set-for-weekly-jump-on-supply-woes-in-top-growers,"Fri, 15 Aug 2025 12:19:52 GMT",https://feeds.bloomberg.com/markets/news.rss
"Opendoor Hunts for CEO as Wheeler Steps Down, Lifting Shares","Opendoor Technologies Inc., a real estate company that became a meme stock in recent months, said Chief Executive Officer Carrie Wheeler is stepping down immediately, an announcement that sent the stock surging.",https://www.bloomberg.com/news/articles/2025-08-15/opendoor-hunts-for-new-ceo-as-wheeler-steps-down-lifting-shares,"Fri, 15 Aug 2025 13:40:56 GMT",https://feeds.bloomberg.com/markets/news.rss
Chips Act Fund Considered for Intel Stake,"The administration is willing to move quickly in order to bring more semiconductor manufacturing to the US as part of their AI strategy, reports Bloomberg’s Ed Ludlow on “Bloomberg Open Interest.”  (Source: Bloomberg)",https://www.bloomberg.com/news/videos/2025-08-15/chips-act-fund-considered-for-intel-stake-video,"Fri, 15 Aug 2025 15:03:14 GMT",https://feeds.bloomberg.com/markets/news.rss
US Stocks Decline as Consumer Sentiment Data Triggers Step Back,US stocks stepped back from record highs as data showed consumer sentiment fell for the first time since April.,https://www.bloomberg.com/news/articles/2025-08-15/us-stocks-steady-as-retail-sales-ease-economic-slowdown-concerns,"Fri, 15 Aug 2025 13:39:09 GMT",https://feeds.bloomberg.com/markets/news.rss
How Brazil’s Sugar Powerhouse Raízen Became a Penny Stock,"It was just another Tuesday morning in the heart of Brazil’s sugarcane region when workers in Sertãozinho, a small town four hours away from Sao Paulo, heard the news.",https://www.bloomberg.com/news/articles/2025-08-15/how-brazil-s-sugar-powerhouse-raizen-became-a-penny-stock,"Fri, 15 Aug 2025 13:33:05 GMT",https://feeds.bloomberg.com/markets/news.rss
Chinese LNG Buyers Snap Up Imports as Prices Fall to Refill Storage,China’s liquefied natural gas buyers are boosting imports as falling prices and the need to replenish inventories end months of sluggish deliveries.,https://www.bloomberg.com/news/articles/2025-08-15/chinese-lng-buyers-snap-up-imports-as-prices-fall-to-refill-storage,"Fri, 15 Aug 2025 14:44:28 GMT",https://feeds.bloomberg.com/markets/news.rss
Oil Market Awaits Crucial Trump-Putin Meet as Prices Drift Lower,"Oil drifted lower, trading near $66 a barrel, as investors awaited a face-to-face summit between Donald Trump and Vladimir Putin later Friday, an encounter with the potential to reshape crude flows from one of the world’s largest producers.",https://www.bloomberg.com/news/articles/2025-08-14/latest-oil-market-news-and-analysis-for-aug-15,"Thu, 14 Aug 2025 23:32:18 GMT",https://feeds.bloomberg.com/markets/news.rss
Major Lukoil Refinery Halts Oil Intake After Ukraine Strike,"Lukoil PJSC’s major Volgograd refinery has halted oil intake following one of the latest in a series of Ukrainian drone strikes on Russian energy assets, said a person familiar with the matter, who asked not to be named discussing non-public information.",https://www.bloomberg.com/news/articles/2025-08-15/major-lukoil-refinery-halts-oil-intake-after-ukraine-strike,"Fri, 15 Aug 2025 14:37:22 GMT",https://feeds.bloomberg.com/markets/news.rss
US Consumer Sentiment Falls as Inflation Expectations Climb,US consumer sentiment unexpectedly fell for the first time since April and inflation expectations rose on lingering anxiety about the impact of tariffs.,https://www.bloomberg.com/news/articles/2025-08-15/us-consumer-sentiment-falls-as-inflation-expectations-climb,"Fri, 15 Aug 2025 14:00:00 GMT",https://feeds.bloomberg.com/markets/news.rss
Stocks Fall From Record After Consumer Sentiment: Markets Wrap,Wall Street traders sent stocks down from all-time highs after a gauge of consumer sentiment unexpectedly fell and inflation expectations rose.,https://www.bloomberg.com/news/articles/2025-08-14/stock-market-today-dow-s-p-live-updates,"Thu, 14 Aug 2025 22:34:20 GMT",https://feeds.bloomberg.com/markets/news.rss
